1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
443131,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
443230,3;Enemy;Speed;ChangeTo;3,39
443885,8;Enemy;DeathBy;Gun
444151,1;Alert;NonAffectiveSpawn;Activation
445239;Enemy;Speed;ChangeTo;3,42
447251,8;Enemy;Speed;ChangeTo;3,45
447450,9;Player;Health;DecreaseTo;70
447450,9;Slider;Health;DecreaseTo;84
447699,5;Enemy;DeathBy;Gun
448131,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
449125,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
449258,1;Enemy;Speed;ChangeTo;3,48
451264;Enemy;Speed;ChangeTo;3,51
453230,6;Player;SuperPower;Time;2,967133
453230,6;Slider;SuperPower;DecreaseTo;40,65735
453230,6;Player;TimeBetweenTwoBullets;IncreaseTo;0,3
453230,6;Player;DamagePerShot;DecreaseTo;14
453230,6;Player;Range;DecreaseTo;90
453230,6;Player;SuperPower;Kill;5
453230,6;Enemy;DeathBy;SuperPower
453230,6;Enemy;DeathBy;SuperPower
453230,6;Enemy;DeathBy;SuperPower
453230,6;Enemy;DeathBy;SuperPower
453230,6;Enemy;DeathBy;SuperPower
453230,6;Player;SuperPower;Alpha;0,5934265
453282,1;Enemy;Speed;ChangeTo;3,539999
454127;Enemy;0;RegularSpawn;AtSpawnPoint;1
455121;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;5
455121;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;5
455288,4;Enemy;Speed;ChangeTo;3,569999
456134,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
457128,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
457293,8;Enemy;Speed;ChangeTo;3,599999
459305,8;Enemy;Speed;ChangeTo;3,629999
459835,1;Enemy;DeathBy;Gun
461123,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
461123,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
461309,3;Enemy;Speed;ChangeTo;3,659999
463233,7;Slider;SuperPower;IncreaseTo;45,65735
463233,7;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
463233,7;Player;DamagePerShot;IncreaseTo;15
463233,7;Player;Range;IncreaseTo;100
463316,6;Enemy;Speed;ChangeTo;3,689999
464461,2;Player;Health;IncreaseTo;80
465124,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
465323,4;Enemy;Speed;ChangeTo;3,719999
466123,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
467129,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
467129,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
467328;Enemy;Speed;ChangeTo;3,749999
469034,1;Enemy;DeathBy;Gun
469133,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
469332,5;Enemy;Speed;ChangeTo;3,779999
470103,6;Enemy;DeathBy;Gun
471341,7;Enemy;Speed;ChangeTo;3,809999
471374,8;Enemy;DeathBy;Gun
471889,8;TextScore;ChangeTo;PRZYZWOICIE
473130,9;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
473130,9;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
473234,9;Slider;SuperPower;IncreaseTo;50,65735
473234,9;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
473234,9;Player;DamagePerShot;IncreaseTo;15
473234,9;Player;Range;IncreaseTo;100
473350,9;Enemy;Speed;ChangeTo;3,839999
474513,7;Enemy;DeathBy;Gun
475133;Enemy;0;RegularSpawn;AtSpawnPoint;0
475369,9;Enemy;Speed;ChangeTo;3,869999
475767,8;Enemy;DeathBy;Gun
476132,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
477253,3;Enemy;DeathBy;Gun
477376,9;Enemy;Speed;ChangeTo;3,899999
479129,5;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
479129,5;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
479390;Enemy;Speed;ChangeTo;3,929999
481394,7;Enemy;Speed;ChangeTo;3,959999
481471,6;Player;Health;IncreaseTo;90
481471,6;Slider;Health;IncreaseTo;112
482137,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
482876,7;Enemy;DeathBy;Gun
483092,5;Enemy;DeathBy;Gun
483241,3;Slider;SuperPower;IncreaseTo;55,65735
