1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
27380;Joystick;Right;Horizontal;0;Vertical;0
27400;Joystick;Left;Horizontal;0;Vertical;0
27400;Joystick;Right;Horizontal;0;Vertical;0
27420;Joystick;Left;Horizontal;0;Vertical;0
27420;Joystick;Right;Horizontal;0;Vertical;0
27440;Joystick;Left;Horizontal;0;Vertical;0
27440;Joystick;Right;Horizontal;0;Vertical;0
27460;Joystick;Left;Horizontal;0;Vertical;0
27460;Joystick;Right;Horizontal;0;Vertical;0
27480;Joystick;Left;Horizontal;0;Vertical;0
27480;Joystick;Right;Horizontal;0;Vertical;0
27500;Joystick;Left;Horizontal;0;Vertical;0
27500;Joystick;Right;Horizontal;0;Vertical;0
27520;Joystick;Left;Horizontal;0;Vertical;0
27520;Joystick;Right;Horizontal;0;Vertical;0
27540;Joystick;Left;Horizontal;0;Vertical;0
27540;Joystick;Right;Horizontal;0;Vertical;0
27560;Joystick;Left;Horizontal;0;Vertical;0
27560;Joystick;Right;Horizontal;0;Vertical;0
27580;Joystick;Left;Horizontal;0;Vertical;0
27580;Joystick;Right;Horizontal;0;Vertical;0
27600;Joystick;Left;Horizontal;0;Vertical;0
27600;Joystick;Right;Horizontal;0;Vertical;0
27620;Joystick;Left;Horizontal;0;Vertical;0
27620;Joystick;Right;Horizontal;0;Vertical;0
27640;Joystick;Left;Horizontal;0;Vertical;0
27640;Joystick;Right;Horizontal;0;Vertical;0
27660;Joystick;Left;Horizontal;0;Vertical;0
27660;Joystick;Right;Horizontal;0;Vertical;0
27680;Joystick;Left;Horizontal;0;Vertical;0
27680;Joystick;Right;Horizontal;0;Vertical;0
27700;Joystick;Left;Horizontal;0;Vertical;0
27700;Joystick;Right;Horizontal;0;Vertical;0
27720;Joystick;Left;Horizontal;0;Vertical;0
27720;Joystick;Right;Horizontal;0;Vertical;0
27740;Joystick;Left;Horizontal;0;Vertical;0
27740;Joystick;Right;Horizontal;0;Vertical;0
27760;Joystick;Left;Horizontal;0;Vertical;0
27760;Joystick;Right;Horizontal;0;Vertical;0
